"destination_id","name","image_url"
"226","Masai Mara, Kenya","assets/images/destinations/africa/masai-mara-kenya.avif"
"225","Fez, Morocco","assets/images/destinations/africa/fez-morocco.avif"
"224","Luxor, Egypt","assets/images/destinations/africa/luxor-egypt.avif"
"223","Nairobi, Kenya","assets/images/destinations/africa/nairobi-kenya.avif"
"222","Casablanca, Morocco","assets/images/destinations/africa/casablanca-morocco.avif"
"221","Kruger National Park, South Africa","assets/images/destinations/africa/kruger-national-park.avif"
"220","Zanzibar, Tanzania","assets/images/destinations/africa/zanzibar-tanzania.avif"
"219","Victoria Falls, Zambia/Zimbabwe","assets/images/destinations/africa/victoria-falls.avif"
"291","South America Trip Planner","assets/images/destinations/southamerica/trip-planner.avif"
"290","San Pedro de Atacama","assets/images/destinations/southamerica/san-pedro-atacama.avif"
"289","Manaus","assets/images/destinations/southamerica/manaus.avif"
"288","Cuzco","assets/images/destinations/southamerica/cuzco.avif"
"287","Amazon River","assets/images/destinations/southamerica/amazon-river.avif"
"286","Punta Arenas","assets/images/destinations/southamerica/punta-arenas.avif"
"285","Uyuni Train Cemetery","assets/images/destinations/southamerica/uyuni-train-cemetery.avif"
"284","Valparaiso","assets/images/destinations/southamerica/valparaiso.avif"
"283","Brasilia","assets/images/destinations/southamerica/brasilia.avif"
"282","Medellin","assets/images/destinations/southamerica/medellin.avif"
"281","Fernando de Noronha","assets/images/destinations/southamerica/fernando-de-noronha.avif"
"280","Colca Canyon","assets/images/destinations/southamerica/colca-canyon.avif"
"279","Bariloche","assets/images/destinations/southamerica/bariloche.avif"
"278","Quito","assets/images/destinations/southamerica/quito.avif"
"277","Cartagena","assets/images/destinations/southamerica/cartagena.avif"
"276","Pantanal","assets/images/destinations/southamerica/pantanal.avif"
"275","Easter Island","assets/images/destinations/southamerica/easter-island.avif"
"274","Lake Titicaca","assets/images/destinations/southamerica/lake-titicaca.avif"
"273","Angel Falls","assets/images/destinations/southamerica/angel-falls.avif"
"272","Patagonia","assets/images/destinations/southamerica/patagonia.avif"
"271","Atacama Desert","assets/images/destinations/southamerica/atacama-desert.avif"
"270","Buenos Aires","assets/images/destinations/southamerica/buenos-aires.avif"
